BusNo,Routes,TD,TT
66A,Gandhipuram Town Bus Stand|Park Gate|Christ The King Church|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kurichi Pirivu|Kurichi Pirivu Housing Unit|Iyer Hospital|Sundarapuram|Gandhi Nagar|L.I.C. Colony|Sidco|K.P.M. Matriculation School|Rathinam College|Eachanari|Karpagam University|Ganesh Nagar|Malumichampatti Junction,0 2 2 1 1 0 1 3 1 5 1 1 5 1 1 2 2 2 3 1 3 3 3 3,5:00AM 8:00AM 9:00AM 10:00AM 11:00AM 2:00PM 5:00PM 6:00PM 7:00PM 8:00PM 9:00PM       
66A,Malumichampatti Junction|Ganesh Nagar|Karpagam University|Eachanari|Rathinam College|K.P.M. Matriculation School|Sidco|L.I.C. Colony|Gandhi Nagar|Sundarapuram|Iyer Hospital|Kurichi Pirivu Housing Unit|Kurichi Pirivu|Athupalam|Karumbukadai|Ukkadam|Prakasam|Raja Street|Five Corner|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|Christ The King Church|Park Gate|Gandhipuram Town Bus Stand,0 2 4 3 2 1 4 1 3 2 0 2 4 1 1 5 2 0 1 1 2 1 0 0 1 1 1 3,5:00AM 8:00AM 9:00AM 10:00AM 11:00AM 2:00PM 5:00PM 6:00PM 7:00PM 8:00PM 9:00PM
66,Gandhipuram Town Bus Stand|Park Gate|Christ The King Church|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kurichi Pirivu|Kurichi Pirivu Housing Unit|Iyer Hospital|Madukkarai Market|Palathurai,0 2 2 1 1 0 1 3 1 5 1 1 5 1 21 9,4:40AM 7:40AM 10:40AM 11:40AM 2:40PM 5:00PM
66,Palathurai|Madukkarai Market|Sundarapuram|Iyer Hospital|Kurichi Pirivu Housing Unit|Kurichi Pirivu|Athupalam|Karumbukadai|Ukkadam|Prakasam|Raja Street|Five Corner|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|Christ The King Church|Park Gate|Gandhipuram Town Bus Stand,0 8 20 1 1 5 1 1 5 1 1 0 1 2 1 0 1 0 2 1 3,4:40AM 7:40AM 10:40AM 11:40AM 2:40PM 5:00PM
60,Gandhipuram Town Bus Stand|Park Gate|Christ The King Church|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Mahalakshmi Bakery|Chetty Street|High School|Selvapuram|Muthusawamy Colony|L.I.C. Colony|Telungupalayam Hospital|Telungupalayam Pirivu Bus Stop|Tamil College|Perur|Perur Chettipalayam|Pachapalayam Junction|Kalampalayam|Chellappa Goundan Puthur|Madampatti,0 4 2 1 1 0 1 3 3 1 3 0 2 1 2 1 4 2 3 4 4 7 5,5:35AM 6:35AM 7:35AM 8:35AM 9:05AM 9:35AM 10:05AM 10:35AM 11:05AM 12:05PM 1:05PM 2:05PM 3:05PM 4:05PM 5:05PM 5:20PM
60,Madampatti|Chellappa Goundan Puthur|Thuruthipallam|Kalampalayam|Pachapalayam Junction|Perur Chettipalayam|Perur|Tamil College|Telungupalayam Pirivu Bus Stop|Telungupalayam Hospital|L.I.C. Colony|Muthusawamy Colony|Selvapuram|High School|Chetty Street|Thermutti|Raja Street|Five Corner|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|Christ The King Church|Park Gate|Gandhipuram Town Bus Stand,0 4 4 3 4 4 2 1 4 1 2 2 1 1 2 2 2 0 1 2 1 1 0 0 2 1 3,5:35AM 6:35AM 7:35AM 8:35AM 9:05AM 9:35AM 10:05AM 10:35AM 11:05AM 12:05PM 1:05PM 2:05PM 3:05PM 4:05PM 5:05PM 5:20PM
59B,Avarampalayam Bus Stand|Ramakrishna Hospital|Jaganatha Perumal Thiru Kovil|Womens Polytechnic|Gandhipuram Town Bus Stand|Park Gate|Christ The King Church|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Mahalakshmi Bakery|Chetty Street|High School|Selvapuram|Muthusawamy Colony|L.I.C. Colony|Telungupalayam Hospital|Telungupalayam Pirivu Bus Stop|Tamil College|Perur|Perur Chettipalayam|Pachapalayam Junction|Kalampalayam|Chellappa Goundan Puthur|Madampatti|Indira Nagar|Sennanur Thanneer Pandal|Spic|Chithrai Chavadi|Pooluvapatti|Ramanathapuram|Srinivasapuram|Alandurai High School|Aalandurai|Thombilipalayam,0 3 1 2 2 3 1 2 1 0 1 3 3 2 2 1 1 1 2 2 3 1 2 4 4 7 5 3 3 5 1 6 3 4 1 2 3,6:00AM 9:00AM 10:00AM 11:00AM 2:00PM 5:00PM   
59B,Thombilipalayam|Aalandurai|Srinivasapuram|Ramanathapuram|Pooluvapatti|Chithrai Chavadi|Spic|Sennanur Thanneer Pandal|Indira Nagar|Madampatti|Chellappa Goundan Puthur|Thuruthipallam|Kalampalayam|Pachapalayam Junction|Perur Chettipalayam|Perur|Tamil College|Telungupalayam Pirivu Bus Stop|Telungupalayam Hospital|L.I.C. Colony|Muthusawamy Colony|Selvapuram|High School|Chetty Street|Mahalakshmi Bakery|Prakasam|Raja Street|Five Corner|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|Christ The King Church|Park Gate|Gandhipuram Town|Womens Polytechnic|Jaganatha Perumal Thiru Kovil|Ramakrishna Hospital|Avarampalayam Bus Stand,0 3 3 4 3 5 1 6 3 3 4 4 3 4 4 2 2 3 1 3 1 1 1 3 1 2 1 0 1 2 1 1 0 0 2 1 3 3 1 2 3,6:00AM 9:00AM 10:00AM 11:00AM 2:00PM 5:00PM
57,Ukkadam|Prakasam|Raja Street|Five Corner|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Park Gate|G.P. Hospital|Lakshmipuram|Tex Tool / Velan Theatre|Ganapathy|Surya Hospital|C.M.S. School|Athipalayam Junction|Bharathi Nagar|Ramakrishna Mill|L.G.B. Nagar|Sivanandha Mills|Anandha Kumar Mills|S.R.P. Mills|Amman Kovil|G.K.S. Nagar|Kalapatti Pirivu|Saravanampatti|Viswasapuram|Karattumedu|P.P.G. It|S.N.S. College / Valiyampalayam Pirivu|S.N.S. College|Sri Village Nagar|Kurumbapalayam|Kodia Park|Info Institute of Engineering|Kovilpalayam|S.S. Kulam|V.J. Nagar|Kottaipalayam|Agrahara Samakulam|Thottipalayam|Vellamadai,0 1 1 0 1 2 1 0 1 0 0 2 2 5 1 3 2 1 1 2 2 2 1 1 1 1 3 1 2 1 4 2 3 1 2 2 2 2 5 2 2 2 2 4 4 4,5:25AM 6:25AM 7:25AM 8:25AM 8:55AM 9:25AM 9:55AM 10:25AM 10:55AM 11:25AM 12:25PM 1:25PM 2:25PM 3:25PM 4:25PM 5:25PM 5:55PM 6:25PM 6:55PM 7:25PM 7:50PM
57,Vellamadai|Thottipalayam|Agrahara Samakulam|Kottaipalayam|V.J. Nagar|S.S. Kulam|Kovilpalayam|Info Institute of Engineering|Kodia Park|Kurumbapalayam|Sri Village Nagar|S.N.S. College|S.N.S. College / Valiyampalayam Pirivu|P.P.G. It|Karattumedu|Viswasapuram|Saravanampatti|Kalapatti Pirivu|G.K.S. Nagar|Amman Kovil|S.R.P. Mills|Anandha Kumar Mills|Sivanandha Mills|L.G.B. Nagar|Ramakrishna Mill|Bharathi Nagar|Athipalayam Junction|C.M.S. School|Surya Hospital|Ganapathy|Tex Tool / Velan Theatre|Lakshmipuram|G.P. Hospital|Park Gate|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam,0 3 3 4 2 2 2 2 5 2 2 2 1 2 3 2 4 1 2 1 2 2 1 1 1 2 2 2 1 1 2 2 2 5 2 2 0 0 1 1 2 2,5:25AM 6:25AM 7:25AM 8:25AM 8:55AM 9:25AM 9:55AM 10:25AM 10:55AM 11:25AM 12:25PM 1:25PM 2:25PM 3:25PM 4:25PM 5:25PM 5:55PM 6:25PM 6:55PM 7:25PM 7:50PM
56,Gandhipuram Town Bus Stand|Park Gate|Christ The King Church|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Mahalakshmi Bakery|Chetty Street|High School|Selvapuram|Muthusawamy Colony|L.I.C. Colony|Telungupalayam Hospital|Telungupalayam Pirivu|Tamil College|Perur|Perur Chettipalayam|Pachapalayam Junction|Kalampalayam|Chellappa Goundan Puthur|Madampatti|Thondamuthur 3|R.R. Nagar|Anna Nagar|Puthur|Thillai Nagar|Thennamanallur East|Pooluvapatti,0 2 2 1 1 0 1 3 3 1 3 0 2 3 2 2 3 2 1 4 4 7 5 9 0 1 2 6 1 5,4:55AM 5:55AM 6:55AM 7:55AM 8:55AM 9:25AM 9:55AM 10:25AM 10:55AM 11:25AM 12:25PM 1:25PM 2:25PM 3:25PM 4:25PM 5:25PM 5:55PM 6:25PM 6:55PM 7:25PM 7:30PM
56,Pooluvapatti|Thennamanallur East|Thillai Nagar|Thendral Nagar|Puthur|Anna Nagar|R.R. Nagar|Madampatti|Chellappa Goundan Puthur|Thuruthipallam|Kalampalayam|Pachapalayam Junction|Perur Chettipalayam|Perur|Tamil College|Telungupalayam Pirivu Bus Stop|Telungupalayam Hospital|L.I.C. Colony|Muthusawamy Colony|Selvapuram|High School|Chetty Street|Mahalakshmi Bakery|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|Christ The King Church|Park Gate|Gandhipuram Town Bus Stand,0 5 1 1 5 2 1 9 4 4 3 4 4 2 2 3 1 3 1 1 1 2 2 3 2 1 0 1 0 2 1 3,4:55AM 5:55AM 6:55AM 7:55AM 8:55AM 9:25AM 9:55AM 10:25AM 10:55AM 11:25AM 12:25PM 1:25PM 2:25PM 3:25PM 4:25PM 5:25PM 5:55PM 6:25PM 6:55PM 7:25PM 7:30PM
55B,Gandhipuram Town Bus Stand|Park Gate|Christ The King Church|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kurichi Pirivu|Podanur Pirivu|Karuparayan Kovil|P.V.G. Thirumana Mahal|Mayilkal|Sai Nagar|Podanur Police Station|Podanur Railway Station|Rail Kalyana Mandapam|Podanur Railway Gate|Railway S & T Workshop|Sithnapuram|G.D. Wiler|Sam Anna Nagar|Konavaikkalpalayam|Balu Medicals|Mahalingapuram|ELGI Nagar|Bharat Petrol Pump|Senthur Mahal|Sri Subramanyaswamy Temple|Peachiamman Kovil|E.S.I.|Vellalore Bus Stand,0 2 2 1 1 0 1 2 1 5 1 1 1 2 1 2 1 1 1 1 1 3 1 0 1 1 1 1 1 0 2 1 3 1 1,5:10AM 7:10AM 9:10AM 9:40AM 10:10AM 10:40AM 11:10AM 1:10PM 3:10PM 5:10PM 5:40PM 6:10PM 6:40PM 6:45PM
55B,Vellalore Bus Stand|E.S.I.|Peachiamman Kovil|Sri Subramanyaswamy Temple|Senthur Mahal|Bharat Petrol Pump|ELGI Nagar|Mahalingapuram|Balu Medicals|Konavaikkalpalayam|Sam Anna Nagar|G.D. Wiler|Sithnapuram|Railway S & T Workshop|Podanur Railway Gate|Rail Kalyana Mandapam|Podanur Railway Station|Podanur Police Station|Sai Nagar|Mayilkal|P.V.G. Thirumana Mahal|Karuparayan Kovil|Podanur Pirivu|Kurichi Pirivu|Athupalam|Karumbukadai|Ukkadam|Prakasam|Raja Street|Five Corner|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|Christ The King Church|Park Gate|Gandhipuram Town Bus Stand,0 0 2 2 1 2 1 1 1 0 1 1 1 1 2 1 2 1 1 1 2 1 2 1 1 1 4 2 1 0 1 2 1 0 1 0 2 1 3,5:10AM 7:10AM 9:10AM 9:40AM 10:10AM 10:40AM 11:10AM 1:10PM 3:10PM 5:10PM 5:40PM 6:10PM 6:40PM 6:45PM
55A,Gandhipuram Town Bus Stand|Womens Polytechnic|R.T.O.|Stanes Higher Secondary School|Anna Statue|D.S.P. Office|Collector Office|Railway Station|Manikoondu / Town Hall|Five Corner|Raja Street|Prakasam|Ukkadam|Karumbukadai|Athupalam|Kurichi Pirivu|Iyer Hospital|Sundarapuram|Gandhi Nagar|L.I.C. Colony|Sidco|K.P.M. Matriculation School|Rathinam College|Eachanari|Dresser Valve|Gedee Public School|Nabi Nagar|Crematorium|Eru Company|Eshwar Nagar|G.D. Hospital|Railway S & T Workshop|Sithnapuram|G.D. Wiler|Sam Anna Nagar|Konavaikkalpalayam|Balu Medicals|Mahalingapuram|ELGI Nagar|Bharat Petrol Pump|Senthur Mahal|Sri Subramanyaswamy Temple|Peachiamman Kovil|E.S.I.|Vellalore Bus Stand,0 2 2 2 1 2 1 1 2 1 0 1 1 5 1 1 6 1 2 2 1 4 1 2 4 1 7 0 2 1 2 2 1 0 1 1 1 1 1 0 2 1 3 1 1,6:30AM 7:30AM 8:30AM 9:00AM 9:30AM 10:00AM 10:30AM 11:00AM 12:00PM 1:00PM 2:00PM 3:00PM 4:00PM 5:00PM 5:30PM 6:00PM 6:30PM 6:45PM
55A,Vellalore|E.S.I.|Peachiamman Kovil|Sri Subramanyaswamy Temple|Senthur Mahal|Bharat Petrol Pump|ELGI Nagar|Mahalingapuram|Konavaikkalpalayam|Sam Anna Nagar|G.D. Wiler|Sithnapuram|Railway S & T Workshop|G.D. Hospital|Eshwar Nagar|Eru Company|Crematorium|Nabi Nagar|Gedee Public School|Dresser Valve|Eachanari|Rathinam College|K.P.M. Matriculation School|Sidco|L.I.C. Colony|Gandhi Nagar|Sundarapuram|Iyer Hospital|Kurichi Pirivu Housing Unit|Kurichi Pirivu|Athupalam|Karumbukadai|Ukkadam|Prakasam|Five Corner|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|D.S.P. Office Junction|Anna Statue|Stanes Higher Secondary School|R.T.O.|Womens Polytechnic|Gandhipuram Town Bus Stand,0 0 2 2 1 2 1 1 1 1 1 1 1 2 2 1 1 1 5 1 4 3 1 3 2 2 2 1 1 4 2 1 4 2 1 0 3 0 1 1 1 1 2 2 3,6:30AM 7:30AM 8:30AM 9:00AM 9:30AM 10:00AM 10:30AM 11:00AM 12:00PM 1:00PM 2:00PM 3:00PM 4:00PM 5:00PM 5:30PM 6:00PM 6:30PM 6:45PM
55,Gandhipuram Town Bus Stand|Park Gate|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kurichi Pirivu|Kurichi Pirivu Housing Unit|Iyer Hospital|Sundarapuram|Gandhi Nagar|L.I.C. Colony|Sidco|K.P.M. Matriculation School|Rathinam College|Eachanari|Dresser Valve|Gedee Public School|Nabi Nagar|Crematorium|Eru Company|Eshwar Nagar|G.D. Hospital|Railway S & T Workshop|Sithnapuram|G.D. Wiler|Sam Anna Nagar|Konavaikkalpalayam|Balu Medicals|Mahalingapuram|ELGI Nagar|Bharat Petrol Pump|Senthur Mahal|Sri Subramanyaswamy Temple|Peachiamman Kovil|E.S.I.|Vellalore Bus Stand,0 2 3 1 1 0 0 1 2 2 4 1 1 5 1 2 1 2 2 3 1 3 4 1 6 1 1 2 1 3 0 1 1 1 1 0 1 1 1 2 2 2 1,5:10AM 7:10AM 9:10AM 9:40AM 10:10AM 10:40AM 11:10AM 1:10PM 3:10PM 5:10PM 5:40PM 5:45PM
55,Vellalore|E.S.I.|Peachiamman Kovil|Sri Subramanyaswamy Temple|Senthur Mahal|Bharat Petrol Pump|ELGI Nagar|Mahalingapuram|Balu Medicals|Konavaikkalpalayam|Sam Anna Nagar|G.D. Wiler|Sithnapuram|Railway S & T Workshop|G.D. Hospital|Eshwar Nagar|Eru Company|Crematorium|Nabi Nagar|Gedee Public School|Dresser Valve|Eachanari|Rathinam College|K.P.M. Matriculation School|Sidco|L.I.C. Colony|Gandhi Nagar|Sundarapuram|Iyer Hospital|Kurichi Pirivu Housing Unit|Kurichi Pirivu|Athupalam|Karumbukadai|Ukkadam|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Park Gate|Gandhipuram Town Bus Stand,0 0 2 2 1 2 1 1 0 1 1 1 1 1 2 2 1 1 1 6 1 4 3 1 3 4 2 1 1 4 2 1 4 2 3 0 1 0 1 0 1 3 3,5:10AM 7:10AM 9:10AM 9:40AM 10:10AM 10:40AM 11:10AM 1:10PM 3:10PM 5:10PM 5:40PM 5:45PM
53,Avarampalayam Bus Stand|Ramakrishna Hospital|Gandhipuram Town|Park Gate|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kurichi Pirivu|Podanur Pirivu|Karuparayan Kovil|P.V.G. Thirumana Mahal|Mayilkal|Sai Nagar|Podanur Police Station|Podanur Railway Station|Rail Kalyana Mandapam|Podanur Railway Gate|Podanur Bus Stop,0 3 4 3 3 1 0 1 0 1 3 1 5 1 1 1 2 1 2 1 1 1 1 1 1,4:50AM 6:50AM 8:50AM 9:20AM 9:50AM 10:20AM 10:50AM 11:20AM 1:20PM 3:20PM 5:20PM 5:45PM
53,Podanur Bus Stop|Podanur Railway Gate|Rail Kalyana Mandapam|Podanur Railway Station|Podanur Police Station|Sai Nagar|Mayilkal|P.V.G. Thirumana Mahal|Karuparayan Kovil|Podanur Pirivu|Kurichi Pirivu|Athupalam|Karumbukadai|Ukkadam|Prakasam|Raja Street|Five Corner|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Park Gate|Gandhipuram Town|Jaganatha Perumal Thiru Kovil|Ramakrishna Hospital|Avarampalayam Bus Stand,0 0 1 1 1 1 2 1 2 2 0 1 1 5 1 1 1 0 2 1 1 0 0 1 1 3 3 3 2 3,4:50AM 6:50AM 8:50AM 9:20AM 9:50AM 10:20AM 10:50AM 11:20AM 1:20PM 3:20PM 5:20PM 5:45PM
51,Gandhipuram Town Bus Stand|Park Gate|Christ The King Church|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kurichi Pirivu|Podanur Pirivu|Karuparayan Kovil|P.V.G. Thirumana Mahal|Mayilkal|Sai Nagar|Podanur Police Station|Podanur Railway Station|Rail Kalyana Mandapam|Podanur Railway Gate|Railway S & T Workshop|Sithnapuram|G.D. Wiler|Sam Anna Nagar|Konavaikkalpalayam|Balu Medicals|Mahalingapuram|ELGI Nagar|Bharat Petrol Pump|Senthur Mahal|Sri Subramanyaswamy Temple|Peachiamman Kovil|E.S.I.|Vellalore Bus Stand|Kanjikonam Palayam,0 2 2 1 1 0 1 3 1 5 1 1 1 2 1 2 1 1 1 1 1 1 3 0 1 1 1 1 0 2 0 1 2 2 2 1 4,5:55AM 7:55AM 9:55AM 10:55AM 11:55AM 1:55PM 3:55PM 5:55PM 6:10PM 
51,Kanjikonam Palayam|Vellalore|E.S.I.|Peachiamman Kovil|Sri Subramanyaswamy Temple|Senthur Mahal|Bharat Petrol Pump|ELGI Nagar|Mahalingapuram|Balu Medicals|Konavaikkalpalayam|Sam Anna Nagar|G.D. Wiler|Sithnapuram|Railway S & T Workshop|G.D. Hospital|Podanur Railway Gate|Rail Kalyana Mandapam|Podanur Railway Station|Podanur Police Station|Sai Nagar|Mayilkal|P.V.G. Thirumana Mahal|Karuparayan Kovil|Podanur Pirivu|Kurichi Pirivu|Athupalam|Karumbukadai|Ukkadam|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|Christ The King Church|Park Gate|Gandhipuram Town|Gandhipuram Town Bus Stand,0 3 1 2 2 1 2 0 1 1 1 1 1 0 1 2 1 2 1 1 1 1 2 1 2 1 1 1 5 1 3 1 0 1 0 1 2 3 0,5:55AM 7:55AM 9:55AM 10:55AM 11:55AM 1:55PM 3:55PM 5:55PM 6:10PM 
50,Gandhipuram Town Bus Stand|Park Gate|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kurichi Pirivu|Kurichi Pirivu Housing Unit|Iyer Hospital|Madukkarai Market,0 2 3 1 1 0 0 1 3 2 4 1 1 51 21,5:30AM 6:30AM 7:30AM 8:30AM 9:00AM 9:30AM 10:00AM 10:30AM 11:00AM 12:00PM 1:00PM 2:00PM 3:00PM 4:00PM 5:00PM 5:30PM 6:00PM 6:30PM 6:50PM
